"","date","Trump","Cruz","Kasich","Bush","Carson","Christie","Fiorina","Graham","Huckabee","Jindal","Pataki","Paul","Perry","Rubio","Santorum","Walker"
"91",2015-11-17,31.4413815146424,10.8130893376844,2.57960547119223,6.03362127680494,17.7843602484107,2.71537251642846,3.22257557903368,0.633966751763449,2.96401372824504,0.602410119793515,0.251225313886994,2.66205523658021,0,11.7282345945945,0.668622940736216,0
"92",2015-11-16,31.1776219002848,10.6194261987332,2.58158143272403,6.09039667218911,18.0093331967678,2.69930799841075,3.24724160257056,0.634685554050841,3.03812058983119,0.627065493010552,0.261783561179352,2.67956385530563,0,11.637909846911,0.685049348527339,0
"93",2015-11-12,29.8081996221898,10.0484135300317,0,6.24479635315063,19.0860749268918,0,3.29475303847431,0,0,0,0,0,0,11.2406562395316,0,0
"94",2015-11-11,29.4553941652464,9.92034466259461,2.46639644357435,6.28906507993915,19.3370341070906,2.57839534918292,3.30531992115822,0.550268372997742,3.12616854065969,0.745645582542177,0.273928532561834,2.69450793770694,0,11.1240837183071,0.746715433093687,0
"95",2015-11-10,29.2190245389558,9.80160899668476,2.44031653766992,6.34137310283059,19.5537801020882,2.55556677550115,3.30910237714698,0,3.15390879442528,0,0,2.68209889284665,0,11.02684647131,0,0
"96",2015-11-09,29.0211155878101,9.69591225703069,2.44018372300455,6.43022005297048,19.729571147474,2.53343216272003,3.31322506235245,0.49449357166557,3.12914782793592,0.768109297021035,0.260571334386287,2.68234988285275,0,10.9313061090151,0.752139917414456,0
"97",2015-11-08,28.8773813969103,9.58345999839774,2.45107810513736,6.5106706652024,19.9171663913229,2.50684470449091,3.3131204002675,0.481714767372261,3.10464686495164,0.77549902000564,0.250957111975777,2.68592128427767,0,10.8473562958257,0.740690213371659,0
"98",2015-11-04,28.5100833188101,8.90631900435137,2.54504623325968,6.82861191187395,20.6886123881796,2.39094165915146,3.35576783712152,0.428038472573996,3.02194877247004,0.831962285836924,0.206499323767437,2.73752817237915,0,10.4816996787108,0.733677534104516,0
"99",2015-11-03,28.4569392081836,8.6742546495651,2.58703093325279,6.88957974632154,20.8889223727861,2.37942899161397,3.38317339000084,0.399520079764962,2.94938429312202,0.849284328638036,0.198067906475006,2.76025160872049,0,10.3723843722878,0.736508948484465,0
"100",2015-11-02,28.4362091873377,8.41711510954332,2.63183849654963,6.94285556950006,21.0879779822565,2.37163025781334,3.42917394491797,0.383295646653266,2.8694794133409,0.835858897129642,0.205842929700675,2.79117230492324,0,10.2395828179563,0.716033683634347,0
"101",2015-11-01,28.4657166398832,8.14810921054153,2.67628205868468,6.99833497028923,21.256398931699,2.36797248464139,3.49436699153494,0.413083080775445,2.80619082448196,0.815925466382596,0.220166927057345,2.81384211500163,0,10.0835989243073,0.704329760086233,0
"102",2015-10-31,28.4650337316059,7.90009473960877,2.70077701269298,7.04627587562485,21.4509023454913,2.38145662752558,3.55593079415083,0.445479439843724,2.81663695261641,0.800704852152356,0.237119254715886,2.82230425857089,0,9.94833039132591,0.688188726989888,0
"103",2015-10-29,28.7478719847085,7.4573873216567,2.75278394542255,7.15231603060451,21.4907333780053,2.39126121036404,3.79185024982051,0.492443750373631,2.75913335395568,0.763570722015611,0.263683126102968,2.8479691985791,0,9.58000792934718,0.658623520567327,0
"104",2015-10-28,28.8810918139647,7.29461408771616,2.74744784305126,7.18250232299509,21.4615456401532,2.41864394629583,3.92348909635288,0.518350796362339,2.81075233379957,0.744497900050729,0.275513103662146,2.83770516011065,0,9.4202116436676,0.652509357142412,0
"105",2015-10-27,28.9982367117229,7.14699864860125,2.73792184734841,7.20308769493668,21.4412912055079,2.44710680102639,4.05406730923748,0.553441934722759,2.87058137122047,0.730091153707001,0.284675369529402,2.82190410373707,0,9.28544922253601,0.630129276312747,0
"106",2015-10-26,29.121428113698,6.99627724596777,2.72752519733693,7.224403954422,21.4247527670381,2.47293864802651,4.18071463565132,0.595779714632995,2.93163615802097,0.721013888146648,0.291637693302897,2.80711830079554,0,9.16918096055018,0.623114353750845,0
"107",2015-10-25,29.2580613876593,6.83455247123676,2.71795575055098,7.25453898294013,21.407005872472,2.49444091363684,4.3046763111909,0.600984650383192,2.99184195938114,0.709333434592444,0.28601551813016,2.79616333646298,0,9.06100404535744,0.609713776940921,0
"108",2015-10-21,29.8264488772033,6.19583702203806,2.72957514705866,7.44571797013288,21.1992742571444,2.55343768965429,4.83754420381982,0.675629538572937,3.25217258239528,0.681731210130112,0.296368256255506,2.81218062864484,0,8.67579139017661,0.578456280907671,0
"109",2015-10-19,29.9600696492572,6.08043022995075,2.70289782763111,7.50539602217989,20.9082711025694,2.60090741188368,5.10075784352733,0.711906470524998,3.34671177978867,0.651611332852635,0.292702085660069,2.86947987708966,0,8.54775821353941,0.568633304046206,0
"110",2015-10-18,30.0001420710231,6.03144958961622,2.67860497687107,7.52606294892574,20.7338542144516,2.63469069869238,5.2333491853231,0.696451293315833,3.39131355272492,0.632760700794512,0.286986208522927,2.90332019537899,0,8.48453087714833,0.564391786893124,0
"111",2015-10-17,29.8953495469034,6.01493021855405,2.65885413532208,7.57150015738784,20.5098740858156,2.66681496468039,5.33922609035449,0.682204722411205,3.40900365033701,0.607076145743048,0.290145745368831,2.9397812596104,0,8.49105072412671,0.571500041121262,0
"112",2015-10-15,29.8245688730218,5.97365121327709,2.61247370190455,7.62473600827836,20.1148349659304,2.74209660798412,5.57906879631901,0.661857206991561,3.49381505958229,0.570861415542522,0.294604730410995,2.96794365967818,0,8.45357037555656,0.579558198133952,0
"113",2015-10-14,29.6729238860448,5.98193772643799,2.60824009155345,7.67207576761783,19.9078322846122,2.76665793274764,5.68642224646679,0.642398043705492,3.51229465666181,0.552406131623029,0.293291291657418,2.97506553661033,0,8.51052944642153,0.565802501763923,0
"114",2015-10-12,29.3683520647093,5.98862197985953,2.65473769344523,7.79284769505822,19.3905056080869,2.78524929370802,5.96906094355257,0.589743752138058,3.51884903153075,0.533184966482569,0.279278217386182,2.99799686573979,0,8.70265355782778,0.630631165276579,0
"115",2015-10-08,28.7783592448924,6.00846169749404,2.7046523040491,8.02409108383141,18.2122774795035,2.8043193870871,6.61281064559052,0,3.39276991056771,0.523128198534475,0.245674372138467,3.05962444275158,0,9.03875229265539,0.720833150121313,0
"116",2015-10-07,28.644104953465,5.99481330978895,2.71939488557254,8.09723095817831,17.9259721071122,2.80766592018385,6.7536166244739,0.461422457338812,3.36939766492461,0.535544687996482,0.240265191660496,3.09162762726612,0,9.10178587715406,0.743923926501969,0
"117",2015-10-05,28.3607188053929,5.96815349130092,2.75072924732582,8.2390491171648,17.3431742857846,2.8373442258247,7.05703085802789,0.416096988010813,3.30844928198113,0.529799299851724,0.229609833872426,3.13339704227019,0,9.16212866297109,0.792643205816913,0
"118",2015-10-04,28.1778402597698,5.96873533283908,2.7674819171439,8.28777609395286,17.1138439353543,2.86490710587343,7.22800794383736,0.397520801670056,3.27022962326099,0.526897894507143,0.235310850228506,3.1187808068099,0,9.18042291975838,0.823841478396172,1.21383174568187
"119",2015-10-01,27.6979525784439,5.95862850343061,2.83462367586849,8.46466430786566,16.6582213002117,2.96294941773707,7.63830473710509,0.3485498861737,3.17847173548871,0.529447453153281,0.265052334522468,2.99821633361522,0,9.08787208765829,0.833677304290834,0
"120",2015-09-30,27.5047026564149,5.94836364052828,2.86411446717867,8.51750142794275,16.4520957012436,2.98717364905638,7.79036558235846,0.330853209237332,3.15403015196655,0.526140620197851,0.272732902433224,2.95677911494719,0,9.11575652699844,0.828757550675489,0
"121",2015-09-29,27.5117736393658,5.9442592313971,2.87236114605578,8.56986462308012,16.3088550524947,3.01483249697804,7.8175192199683,0.315186615731499,3.12616716388622,0.53413641260761,0.277184681560538,2.9276991529271,0,8.97023665072198,0.842028960041907,0
"122",2015-09-28,27.4062097028437,5.93599065291459,2.90221254773447,8.63142039900008,16.1197925175327,3.03467026867307,7.9303893517189,0.296870743429558,3.08676628573743,0.540961557611582,0.284052992985538,2.88160795511135,0,8.9400584736587,0.844941292820393,0
"123",2015-09-27,27.4194255358581,5.94272259971348,2.91437150301629,8.66233622957667,15.9547837333097,3.05303665546794,7.95231310092084,0.278688744010874,3.04871214075832,0.53937702647812,0.288549702328252,2.85082493775388,0,8.81316722734753,0.842850371010498,0
"124",2015-09-24,27.6077393349467,5.97951543574685,2.90396797489292,8.64392489667199,15.5668880443972,3.06998086984036,7.72167682266351,0.23708958331565,2.95164361435494,0.565226368212007,0.297602486572903,2.81196522142053,0,8.28985672614746,0.84678779786043,0
"125",2015-09-23,27.7162171049176,5.9880602549104,2.88759420641648,8.61319812696319,15.5020872680063,3.06393866591132,7.55999667056883,0.223241596159618,2.93512026938762,0.57246269282397,0.298835987005343,2.81749981850524,0,8.06619165295937,0.839230409636429,2.24949783237821
"126",2015-09-22,27.7541546614112,5.98283623705435,2.86544379159709,8.61185243356452,15.4419031415298,3.08787364394055,7.46802339336143,0.209771560495524,2.90230173214049,0.569469079635867,0.29625843299545,2.80736189628033,0,7.84325738048059,0.832375220085558,0
"127",2015-09-21,27.9507844831945,5.97211010074793,2.85969215048884,8.57433837574866,15.4534844948994,3.06590238941789,7.20850901689457,0.213436564537371,2.93469340709789,0.574800535737737,0.285670764290873,2.82117323833573,0,7.57470963072624,0.842971937631488,2.44364603837895
"128",2015-09-20,28.3063196857629,5.98456939570012,2.85906658784034,8.53566847368751,15.5419243691451,2.9860558586139,6.83176188310588,0.225211500191897,3.02123188203044,0.591299578107543,0.272304970595435,2.85651602025441,0,7.33325577753795,0.858669261838996,2.54006779321064
"129",2015-09-19,28.6715575983032,5.996263497254,2.8560512957745,8.53465019203288,15.667476448573,2.9131761810885,6.47983071875701,0.233684898815564,3.11753792796787,0.602272038697305,0.270445682402346,2.8717619358959,0,7.11084484507216,0.866017632229571,2.63616463382122
"130",2015-09-18,28.9744122408168,5.9972356872481,2.85549316903026,8.54310857264068,15.763627834561,2.86437197381513,6.1991027256839,0.246497344772487,3.19567550348756,0.616073658511885,0.260937723875578,2.87615870647005,0,6.87488844577899,0.878459723185654,2.73229264940814
"131",2015-09-16,29.6633947461795,6.01573642572411,2.85107479520398,8.53946843318864,15.9372820029606,2.7429239872195,5.61605780247947,0.27553915981359,3.37069305877324,0.65074244503667,0.228783477468642,2.90347494372508,0,6.39372926555906,0.910339508572886,2.92839387019681
"132",2015-09-15,30.005563402821,6.0410464016461,2.84656620168675,8.56487972695288,16.0369311783465,2.68110050952659,5.30686798852486,0.288740671108269,3.47705536096625,0.670236652794164,0.210558512381001,2.88900161538964,0.657618513179136,6.20495644020577,0.932460205572864,3.03152165607742
"133",2015-09-13,30.5503257843995,6.08238366895222,2.8823105108426,8.60923491425604,15.9874622876402,2.59867178010083,4.80320602438448,0.308858210973872,3.67603903185174,0.687900672208392,0.178511072355282,2.86543801473876,0.742070211402059,5.93248802779759,0.956780635658454,3.25959987388829
"134",2015-09-10,31.2035683861184,6.08048101087019,2.96838444245488,8.64036522280916,15.6656581565134,2.4976294240621,4.14364245792184,0.316978827066396,3.98096905229693,0.703939237240002,0.128308541835486,2.86089463720422,0.867312611869509,5.6879833128447,1.02459843390305,3.66158785070971
"135",2015-09-09,31.382466290214,6.07469065961454,2.99452356126804,8.63225044943634,15.5422202049386,2.46322382200575,3.94880592353831,0.32177713708661,4.07749479384058,0.710205408214004,0.117170447670844,2.86921395594618,0.908780517782124,5.61723967733727,1.04617588064395,3.79226882400603
